example_id,source_poem_id,source_author,source_title,target_author,split,sample_index,generated_poem,model,backend,delta_lines,delta_stanzas,delta_tokens_per_line,delta_lines_per_stanza,log_path,timestamp
146_Ристо Лазаров_0,146,Радован Павловски,Театар на мртвите,Ристо Лазаров,train,0,"Мракот на старите прашни седалишта
Свеќата во треперењето на раката
Студената троа на подот

Илија со воскот на прстите
Тесниот праг на црната смртта
Звуците на сребрените далечни ниви

Души на прашните старите седалишта
Гледачите на сопствените изгубени мечти
Спектаклото на времето

Гревовите на старите прашни сцени
Уметникот без зборот на јазикот
Сливата на горките старите сеќавања

Суфлерот во густата црна темнина
Шепотот на севезденот во увото
Талката на вечната длабока тишина

Јасноста на крајот
Сјајот на белите студени мртви
Вистината во сивата густа прашина

Живот по смртта
Срцето во каменот
Вечното претставување на чистата душа",gemma-4-31b-it,google,-0.35,-0.23,-0.01,0.05,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T204121.195408+0000__Радован_Павловски__Ристо_Лазаров.json,2026-09-15T20:41:21.195408+00:00
32_Блаже Конески_0,32,Катица Ќулавкова,Исповед,Блаже Конески,train,0,"Тешкото време брзо и луто мина,
лутата мака силно во мене рика,
тешка копита долго и тврдо клацка,
изгмечен стих сосем долго се чека,
добар стих јасно и чисто се копне,
тивка молитва тивко и нежно суфлира,
срцето стравно и длабоко се збувне,
смртта тешко и силно се приближува.

Жарки вулкани силно и бурно прекипеле,
бела пена шампањски лесно и брзо плива,
гласна страв јасно и стравно увеличува,
висок сокол брзо преку небото лета,
вистински збор сосем долго се бара,
душата лажно и празно не измислува,
тешка мака тиво и мирно се смирува,
светоста вечно и широко се отвора.",gemma-4-31b-it,google,-0.42,-0.3,1.1,0.85,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T205543.699948+0000__Катица_Ќулавкова__Блаже_Конески.json,2026-09-15T20:55:43.699948+00:00
32_Ефтим Клетников_0,32,Катица Ќулавкова,Исповед,Ефтим Клетников,train,0,"Смртта чека на прагот сега.
Стих е добар, стих е тежок.
Стих е клацкан во темната ноќта.
Бог суфлира во увото.

Везувот прекипел, оган избива.
Шампањски пени прска во водата.
Срцето се збувне од страв во нас.
Пепел паѓа на земјата.
Ветер вее над рамнината.

Збор е изгмечен во увото.
Умот увеличува страв во душата.
Човек измислува лага за себе.
Вистината вее над рамнината.
Духот бара патот кон Небото.
Сон се буди во ноќта.",gemma-4-31b-it,google,0.13,-0.27,0.16,0.45,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T210118.343013+0000__Катица_Ќулавкова__Ефтим_Клетников.json,2026-09-15T21:01:18.343013+00:00
32_Влада Урошевиќ_0,32,Катица Ќулавкова,Исповед,Влада Урошевиќ,train,0,"Копитата копаат земјата, вулканите прекипеле во ноќта.
Шампањски пена тресе стаклото, времето тече.
Срцето сфаќа страв, ридот молчи.
Ветерот носи прашина, воздухот се тресе.

Стих изгмечен, зборови клацкани среде тишината.
Раката бара стих добар, мислата збувне.
Гласот суфлира вистина, духот се зголемува во себе.
Перото плови низ мастилото, прстите се мижи.
Сонцето паѓа ниско, сенките се зголеми.

Јазикот не измислува лага, срцето сфаќа светлината.
Божествен збор прелета, небето се тресе.
Смртта чека во бавча, патот заврши.
Вистината лежи тука, тишината е тоа.
Душата минува низ вратата, темнината се шири.",gemma-4-31b-it,google,0.1,0.02,0.21,0.01,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T210330.628656+0000__Катица_Ќулавкова__Влада_Урошевиќ.json,2026-09-15T21:03:30.628656+00:00
32_Братислав Ташковски_0,32,Катица Ќулавкова,Исповед,Братислав Ташковски,train,0,"Смртта брзо сега доаѓа
сакам силно да пишувам
стих добар да направам
без ништо да измислувам
копита земја тешко копа
вулкани силно веќе прекипеа
пена шампањска брзо тресе
глас тиво сега суфлира
страв силно сè увеличува
зборови тешко се клацка
срце наскоро силно збувне
стих изгмечен се бара
сè наскоро ќе замолкне
книга тука само останува",gemma-4-31b-it,google,-0.27,-0.18,-0.49,1.89,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T210535.883565+0000__Катица_Ќулавкова__Братислав_Ташковски.json,2026-09-15T21:05:35.883565+00:00
32_Веле Смилевски_0,32,Катица Ќулавкова,Исповед,Веле Смилевски,train,0,"Добар стих во стара книгата.
Книгата на темна, тешка смртта.
Бела и тешка, долга завесата.
Една чиста, бела единица.
Зевс во празни, темни одаите.

Шампањски пени на ладна водата.
Збувне и ладна, сива водата.
Прекипели црни, големи вулканите.
Оган-пламен во темна ноќта.
Одглас на црвен жарот.

Изгмечен стих на тежок каменот.
Клацкан и тежок, сив каменот.
Суфлира бела, тиха тишината.
Кориците на стара, празна книгата.
Слово-одглас на вечна вечноста.

Увеличива голема, тешка стравта.
Измислува мал, слеп човекот.
Вистината во бела, чиста книгата.
Светило-единица на сино небото.
Завесата на крајната, темна ноќта.
Стихот-одглас во стара книгата.",gemma-4-31b-it,google,-0.27,-0.29,0.23,0.29,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T210806.064626+0000__Катица_Ќулавкова__Веле_Смилевски.json,2026-09-15T21:08:06.064626+00:00
32_Ристо Лазаров_0,32,Катица Ќулавкова,Исповед,Ристо Лазаров,train,0,"Среде Охрид на стара троа
копса на тешка црна земја
блиската и студена смртта.

изгмечен стих од тесно срце
севезден збор на силен ветер
катадената и болна душата.

клацкан јазик на мал човек
лажна слива на сува усна
човечката и празна измислувато.

прекипели вулкани на жив оган
сетне плам на високо небо
црвените и жешки пламените.

шампањски пени во стаклена чаша
збувнени мераци на темна ноќ
тресењето на златната чашата.

божествен шепот на светл ангел
суфлирање на чиста бела вистината
увеличената и вечна вечноста.

добар стих на последен крај
среде густата и црна темнината
последната и тиха молитвата.",gemma-4-31b-it,google,-0.35,-0.23,0.09,0.05,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T211022.954925+0000__Катица_Ќулавкова__Ристо_Лазаров.json,2026-09-15T21:10:22.954925+00:00
951_Веле Смилевски_0,951,Ефтим Клетников,светлината е огромна тајна,Веле Смилевски,train,0,"Господе, мој ти Господе.
Мала земјички, бела светлина.
Тиха лула, книга-светлина.
Одаите на белата светлина.
Светлина во белата книга.

Модра вода, голема модрина.
Крила над сината вода.
Тајна, сина и модра тајна.
Завесата на сината модрина.
Модрина, тиха модра вода.

Огромен вулкан, црната маса.
Ѕвезди, пепел од темното.
Непроѕирен оган, тешка темнина.
Единица во црната темнина.
Кориците на огромната маса.

Адамова тајна, стара тајна.
Мир, тиха бела тишина.
Одглас на белата тишина.
Зевс, молкни во темното.
Книгата на Адамовата тајна.
Мир, тиха бела книга.",gemma-4-31b-it,google,-0.27,-0.29,-0.29,0.29,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T213309.072541+0000__Ефтим_Клетников__Веле_Смилевски.json,2026-09-15T21:33:09.072541+00:00
951_Ристо Лазаров_0,951,Ефтим Клетников,светлината е огромна тајна,Ристо Лазаров,train,0,"Господе, тишината на севездена страна,
мир на древните души,
бел пламен на вечноста.

Светлина на оваа мала земјичка,
троа прашина од стари патишта,
белите мераци на сонцето.

Крилја среде плавите длабоки водите,
модра талка на соништата,
плав синел на небесата.

Адамова тајна во секој камен,
сетне светлото на високи врвови,
тиха молитва на ветрот.

Огромен вулканот на далечни ѕвезди,
гаснење на сите светли сијанија,
црна слива на ноќта.

Непроѕирен мракот на темниот врв,
густа модрина на длабоки бранови,
катаден сонот на беззвучноста.

Лула на вечноста во модриот мир,
тиха страна на секој човек,
крајот на долгиот пат.",gemma-4-31b-it,google,-0.35,-0.23,0.04,0.05,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T213557.254421+0000__Ефтим_Клетников__Ристо_Лазаров.json,2026-09-15T21:35:57.254421+00:00
951_Адем Гајтани_0,951,Ефтим Клетников,светлината е огромна тајна,Адем Гајтани,train,0,"Господе, Адам, мал земјички, светлина
Сонцето грее, земјата чека
Рака, молитва, тишина, вода
Божилото го гледа небото
Светлината се претвора во прашина
Мирот доаѓа, срцето се лула

Модра вода, сини бреговите, крилјата
Птиците летаат, синината се лула
Модрина, езеро, школката, тајната
Водата тече, вилиците се гледаат
Адамова тајна, сини крилјата
Гледаат очите, водата се претвора

Огромен вулкан, ѕвездите, оганот
Вулканот гаси, ѕвездите паѓаат
Оган, пепел, ката, тамната
Тајната се крие, пламенот се претвора
Небото, вулкан, огромен свет-от
Ѕвездите исчезнуваат, ноќта доаѓа

Непроѕирен синил, вечен мир, Господ-от
Божилото, школката, сината тајна
Светот исчезнува, синината останува
Тркалезен мир, душата се лула
Модрина, тишина, вечноста, светта
Претвораш сè во сина тајна",gemma-4-31b-it,google,-0.24,-0.07,-0.29,0.04,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T213908.806748+0000__Ефтим_Клетников__Адем_Гајтани.json,2026-09-15T21:39:08.806748+00:00
357_Блаже Конески_0,357,Славко Јаневски,Две приказни,Блаже Конески,train,0,"Немирен Вардар сосем брзо тече,
златна русалка плива во водата,
стара приказна шепоти многу тиха,
детство лебдеше сосем високо сега,
мали пушки пукаа многу гласна,
облачна тврдина седи на крајната,
сокол висок лета спрема планината,
мина лутата мака сосем јасна.

Нова мака мина брзо сега,
железна машина рика многу гласна,
висока зграда седи сосем цврста,
татковска рака води многу нежна,
немирно чувство тиво сосем замолкна,
усмивнат свет се раширува сега,
нова порта се отвора јасна,
спрема светлина се стреми силна.",gemma-4-31b-it,google,-0.42,-0.3,-0.09,0.85,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T214517.376800+0000__Славко_Јаневски__Блаже_Конески.json,2026-09-15T21:45:17.376800+00:00
357_Пијан Славеј_0,357,Славко Јаневски,Две приказни,Пијан Славеј,train,0,"Вардар брзо тече.
Русалка таму пее.
Силно сонува децата.
Приказната лесно се расипе.
Играчката гласно во рака пука.
Немирен дух високо горе лета.
Ваков сон брзо се губи.

Тракторот сега во нива оре.
Зградата висина по висина расте.
Силно плени татковски збор душата.
Светот бавно и мирно се усмивнува.
Чувството тешко во нас се менува.
Ново време конечно тука дојде.
Дланките сега тврдо работат.",gemma-4-31b-it,google,-0.69,-0.45,0.18,1.01,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T214858.788607+0000__Славко_Јаневски__Пијан_Славеј.json,2026-09-15T21:48:58.788607+00:00
357_Влада Урошевиќ_0,357,Славко Јаневски,Две приказни,Влада Урошевиќ,train,0,"Среде Вардар русалка приказна детство долго плови.
Облак тврдина пушка играчка цврсто држи раката.
Во сенка на ридот револуционер тиво мижи.
Чувство немирен сон кроце низ времето минуваше.

Татковски збор сфаќа крај на старите соништа.
Бавча земја мирис на заборавени денови.
Време тече река носи нови чудни ликови.
Срце тишина на прашниот пат слушаше.

Трактор бетон зграда во сивиот град седе.
Машина челик усмивнат свет сега се создаваше.
Нов поредок руши сите старите легенди.
Железо бетон плоча тешко покрива земјата.
Град расте кула виси и допира небото.
Живот тече брзо низ металните цеви.",gemma-4-31b-it,google,0.1,0.02,0.49,0.01,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T220220.795832+0000__Славко_Јаневски__Влада_Урошевиќ.json,2026-09-15T22:02:20.795832+00:00
357_Братислав Ташковски_0,357,Славко Јаневски,Две приказни,Братислав Ташковски,train,0,"Тихо течеше приказната,
детството се чувствуваше сега,
Вардар криеше една русалка,
борав играчки војна,
немирно се движеа облаците,
татковски смеењето одекнуваше,
наскоро пристигна крај приказна,
чувството се менуваше сега,
тракторите ораа силно сега,
земјата стана конечно усмивната,
брзо растеа куќите,
нов свет се создаваше,
пишувам за тоа стиховите,
сакам повторно да видам.",gemma-4-31b-it,google,-0.27,-0.18,-0.78,1.89,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T220532.073186+0000__Славко_Јаневски__Братислав_Ташковски.json,2026-09-15T22:05:32.073186+00:00
357_Веле Смилевски_0,357,Славко Јаневски,Две приказни,Веле Смилевски,train,0,"Детство. Стара, долга приказна.
Вардар. Сребрена, тиха русалка.
Играчки пушки. Мали војници.
Немирен сон. Детска игра.
Приказна за Вардар и детство.

Татковски збор. Стара книга.
Облак тврдина. Бела кула.
Чувство. Одглас на книгата.
Кориците на прашна книга.
Бела завеса. Тесен простор.

Крај на долга приказна.
Единица. Точка. Сив крај.
Стари одаи. Тесни соништа.
Мртва русалка. Студена скала.
Тишина. Сон за детство.

Нов град. Бетон зграда.
Усмивнат трактор. Железна нива.
Машина. Нов звук. Единица.
Нова книга. Бетонска страница.
Нов Вардар. Брза река.
Железо. Бетон. Нова приказна.",gemma-4-31b-it,google,-0.27,-0.29,-0.24,0.29,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T220831.450066+0000__Славко_Јаневски__Веле_Смилевски.json,2026-09-15T22:08:31.450066+00:00
318_Ефтим Клетников_0,318,Славко Јаневски,Илинка сончева свршеница - 5,Ефтим Клетников,train,0,"Змејот исипа бука над рамнината.
Небото згрми, облакот севива.
Ветерот е бурн, тресе планината.
Камењата паѓаат во прашината.

Шумскиот ветер оголи само гранките.
Змејот намурте, оган прска ене.
Светлината атрепи, мракот го зазема.
Оган избива од ноздрите.

Илинка стои во својата градина.
Носник закитен на нејзиното лице.
Износен копнеж избива од срцето.
Змејот ја сака убавата Илинка.
Љубовта го гори неговото срце.",gemma-4-31b-it,google,-1.87,-0.27,0.0,-0.22,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T222257.401862+0000__Славко_Јаневски__Ефтим_Клетников.json,2026-09-15T22:22:57.401862+00:00
318_Братислав Ташковски_0,318,Славко Јаневски,Илинка сончева свршеница - 5,Братислав Ташковски,train,0,"Небото силно и брзо потемнува
Оголи го сè сега брзо
Планината тешко и силно атрепа
Буката силно во ноќта згрмува
Ветерот бурно и тешко исипа
Тој луто и тешко намуртува
Носник на оган сега доаѓа
Таа убаво и чисто закитена
Јас силно и вечно те сакам
Тешко и долго за тебе борам
Срцето износено сега силно вика
Буреста ноќ брзо направи сега
Пишувам само за тебе стиховите
Сакам само едно зрнце светлина",gemma-4-31b-it,google,-0.27,-0.18,0.65,1.89,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T222843.133654+0000__Славко_Јаневски__Братислав_Ташковски.json,2026-09-15T22:28:43.133654+00:00
318_Веле Смилевски_0,318,Славко Јаневски,Илинка сончева свршеница - 5,Веле Смилевски,train,0,"Змеј-оган и црна бука.
Бурна завесата на небото.
Темна темнина и Зевс-грмењето.
Небо-бука во сивата прашина.
Оган-ветер и тешка силата.

Планина-тресењето на старите дрва.
Оголи-дрво и сува грана.
Исипа-атрепи на земјата.
Намурте-лицето на змеј-носникот-телото.
Бурна бука и тешка земја.

Илинка-красива во бела единица.
Закитен одглас во тихите одаите.
Светла девојка и чиста светлина.
Бела кожа и нежна кожа.
Илинка-сјај во темна ноќта.

Износен копнеж и змеј-љубов-пламена.
Книга-страст и затворена книгата.
Кориците на срцето и тежината.
Оган-пламен во длабока душата.
Илинка-оган и змеј-пламена.
Вечна љубов и тешка судбината.",gemma-4-31b-it,google,-0.27,-0.29,-0.15,0.29,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T223134.631040+0000__Славко_Јаневски__Веле_Смилевски.json,2026-09-15T22:31:34.631040+00:00
292_Катица Ќулавкова_0,292,Веле Смилевски,Телото на книгата,Катица Ќулавкова,train,0,"Твојот тесен, невежен атом-допир
тишината на бледата кожа
особено бели, тенки ните
преместени, далечни суштествата
нежна, тиха стварноста
значи почетокот на сè

наѕвезден, висок, старен скеле-редоследот
бесконечната, празна, сива далечина
поривите на густа прашината
космичката, затворена, тесна вратка
светлоста што силно растрчува
студеното, заборавено, долго време

пеонини, црвени, густи ниви-просторите
боси, бели, нежни ангелски стапала
небесните, чудните, старите предметите
цветот на вечната тишината
недостигната, висока, чиста висина
чистата, јасна, бела формата

коскената, жешка, црвена жаревина
вградените, стари, тешки остатоците
оган-коска во темната ноќта
втиснатите, сиви, бледи сенките
горењето на твоето името
тешкото, замрзнато, сиво каменто

ненадеен, тесен, нов спој-прегледот
срцето што силно, вечно сака
духовната, тешка, темна тежина
твојот вечен, стар, јасен наликот
претворената, нова, чиста стварноста
последната, единствена, вистинска вистината",gemma-4-31b-it,google,0.77,0.25,-0.57,-0.15,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T224744.255391+0000__Веле_Смилевски__Катица_Ќулавкова.json,2026-09-15T22:47:44.255391+00:00
292_Ристо Лазаров_0,292,Веле Смилевски,Телото на книгата,Ристо Лазаров,train,0,"Среде наѕвездена ноќта на небото
допири од Елена во сонот
ненадеен атом-светлина на душата

коскена тишина на бели коски
твој здив-слива во празната чаша
троа севезден пепел-то на патот

полиња бојќели среде широка нива
мераци на талка во срцето
боси ангели-сјај на бели крилја

вградени коски-ни во тврдото семе
втисната молитва на севезден праг-то
сетне на срцето во темнината

растрчувани ѕвезди-ни по сината вода
катаден мир-то на длабокото дно
вселенска нишка-та на сите светови

плам на коскената во ноќта
сакање-оган-то на двете души
твојот вечен печат-то на кожата

среде бела тишина на планината
атом-срце-та во една точка
една единствена нива-та на крајот",gemma-4-31b-it,google,-0.35,-0.23,0.28,0.05,/Users/Aleks/Documents/Programming/Python/NLP/data/llm_transfer_logs/2026-09-15T225052.535622+0000__Веле_Смилевски__Ристо_Лазаров.json,2026-09-15T22:50:52.535622+00:00
